icd103,chapter,l1,l2
P28,XVI Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Other respiratory conditions originating in the perinatal period
P29,XVI Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Cardiovascular disorders originating in the perinatal period
P35,XVI Certain conditions originating in the perinatal period,Infections specific to the perinatal period,Congenital viral diseases
P36,XVI Certain conditions originating in the perinatal period,Infections specific to the perinatal period,Bacterial sepsis of newborn
P37,XVI Certain conditions originating in the perinatal period,Infections specific to the perinatal period,Other congenital infectious and parasitic diseases
P38,XVI Certain conditions originating in the perinatal period,Infections specific to the perinatal period,Omphalitis of newborn with or without mild haemorrhage
P39,XVI Certain conditions originating in the perinatal period,Infections specific to the perinatal period,Other infections specific to the perinatal period
P50,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Fetal blood loss
P51,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Umbilical haemorrhage of newborn
P52,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Intracranial nontraumatic haemorrhage of fetus and newborn
P53,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Haemorrhagic disease of fetus and newborn
P54,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Other neonatal haemorrhages
P55,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Haemolytic disease of fetus and newborn
P56,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Hydrops fetalis due to haemolytic disease
P57,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Kernicterus
P58,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Neonatal jaundice due to other excessive haemolysis
P59,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Neonatal jaundice from other and unspecified causes
P60,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Disseminated intravascular coagulation of fetus and newborn
P61,XVI Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn,Other perinatal haematological disorders
P70,XVI Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn,Transitory disorders of carbohydrate metabolism specific to fetus and newborn
P71,XVI Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn,Transitory neonatal disorders of calcium and magnesium metabolism
P72,XVI Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn,Other transitory neonatal endocrine disorders
P73,XVI Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn,TBC
P74,XVI Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn,Other transitory neonatal electrolyte and metabolic disturbances
P75,XVI Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn,Meconium ileus in cystic fibrosis
P76,XVI Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn,Other intestinal obstruction of newborn
P77,XVI Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn,Necrotizing enterocolitis of fetus and newborn
P78,XVI Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn,Other perinatal digestive system disorders
P80,XVI Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn,Hypothermia of newborn
P81,XVI Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn,Other disturbances of temperature regulation of newborn
P82,XVI Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn,TBC
P83,XVI Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn,Other conditions of integument specific to fetus and newborn
P90,XVI Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,Convulsions of newborn
P91,XVI Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,Other disturbances of cerebral status of newborn
P92,XVI Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,Feeding problems of newborn
P93,XVI Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,TBC
P94,XVI Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,Disorders of muscle tone of newborn
P95,XVI Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,Fetal death of unspecified cause
P96,XVI Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period,Other conditions originating in the perinatal period
Q00,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Anencephaly and similar malformations
Q01,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Encephalocele
Q02,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Microcephaly
Q03,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Congenital hydrocephalus
Q04,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Other congenital malformations of brain
Q05,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Spina bifida
Q06,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Other congenital malformations of spinal cord
Q07,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the nervous system,Other congenital malformations of nervous system
Q10,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Congenital malformations of eyelid; lacrimal apparatus and orbit
Q11,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Anophthalmos; microphthalmos and macrophthalmos
Q12,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Congenital lens malformations
Q13,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Congenital malformations of anterior segment of eye
Q14,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Congenital malformations of posterior segment of eye
Q15,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Other congenital malformations of eye
Q16,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Congenital malformations of ear causing impairment of hearing
Q17,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Other congenital malformations of ear
Q18,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of eye; ear; face and neck,Other congenital malformations of face and neck
Q20,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Congenital malformations of cardiac chambers and connections
Q21,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Congenital malformations of cardiac septa
Q22,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Congenital malformations of pulmonary and tricuspid valves
Q23,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Congenital malformations of aortic and mitral valves
Q24,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Other congenital malformations of heart
Q25,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Congenital malformations of great arteries
Q26,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Congenital malformations of great veins
Q27,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Other congenital malformations of peripheral vascular system
Q28,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the circulatory system,Other congenital malformations of circulatory system
Q30,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the respiratory system,Congenital malformations of nose
Q31,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the respiratory system,Congenital malformations of larynx
Q32,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the respiratory system,Congenital malformations of trachea and bronchus
Q33,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the respiratory system,Congenital malformations of lung
Q34,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the respiratory system,Other congenital malformations of respiratory system
Q35,XVII Congenital malformations; deformations and chromosomal abnormalities,Cleft lip and cleft palate,Cleft palate
Q36,XVII Congenital malformations; deformations and chromosomal abnormalities,Cleft lip and cleft palate,Cleft lip
Q37,XVII Congenital malformations; deformations and chromosomal abnormalities,Cleft lip and cleft palate,Cleft palate with cleft lip
Q38,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Other congenital malformations of tongue; mouth and pharynx
Q39,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Congenital malformations of oesophagus
Q40,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Other congenital malformations of upper alimentary tract
Q41,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Congenital absence; atresia and stenosis of small intestine
Q42,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Congenital absence; atresia and stenosis of large intestine
Q43,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Other congenital malformations of intestine
Q44,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Congenital malformations of gallbladder; bile ducts and liver
Q45,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations of the digestive system,Other congenital malformations of digestive system
Q50,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of genital organs,Congenital malformations of ovaries; fallopian tubes and broad ligaments
Q51,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of genital organs,Congenital malformations of uterus and cervix
Q52,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of genital organs,Other congenital malformations of female genitalia
Q53,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of genital organs,Undescended testicle
Q54,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of genital organs,Hypospadias
Q55,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of genital organs,Other congenital malformations of male genital organs
Q56,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of genital organs,Indeterminate sex and pseudohermaphroditism
Q60,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the urinary system,Renal agenesis and other reduction defects of kidney
Q61,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the urinary system,Cystic kidney disease
Q62,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the urinary system,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Q63,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the urinary system,Other congenital malformations of kidney
Q64,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations of the urinary system,Other congenital malformations of urinary system
Q65,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Congenital deformities of hip
Q66,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Congenital deformities of feet
Q67,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Congenital musculoskeletal deformities of head; face; spine and chest
Q68,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Other congenital musculoskeletal deformities
Q69,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Polydactyly
Q70,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Syndactyly
Q71,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Reduction defects of upper limb
Q72,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Reduction defects of lower limb
Q73,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Reduction defects of unspecified limb
Q74,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Other congenital malformations of limb(s)
Q75,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Other congenital malformations of skull and face bones
Q76,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Congenital malformations of spine and bony thorax
Q77,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Osteochondrodysplasia with defects of growth of tubular bones and spine
Q78,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Other osteochondrodysplasias
Q79,XVII Congenital malformations; deformations and chromosomal abnormalities,Congenital malformations and deformations of the musculoskeletal system,Congenital malformations of the musculoskeletal system; not elsewhere classified
Q80,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Congenital ichthyosis
Q81,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Epidermolysis bullosa
Q82,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Other congenital malformations of skin
Q83,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Congenital malformations of breast
Q84,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Other congenital malformations of integument
Q85,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Phakomatoses; not elsewhere classified
Q86,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Congenital malformation syndromes due to known exogenous causes; not elsewhere classified
Q87,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Other specified congenital malformation syndromes affecting multiple systems
Q88,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,TBC
Q89,XVII Congenital malformations; deformations and chromosomal abnormalities,Other congenital malformations,Other congenital malformations; not elsewhere classified
Q90,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Down's syndrome
Q91,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Edwards' syndrome and Patau's syndrome
Q92,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Other trisomies and partial trisomies of the autosomes; not elsewhere classified
Q93,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Monosomies and deletions from the autosomes; not elsewhere classified
Q94,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,TBC
Q95,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Balanced rearrangements and structural markers; not elsewhere classified
Q96,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Turner's syndrome
Q97,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Other sex chromosome abnormalities; female phenotype; not elsewhere classified
Q98,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Other sex chromosome abnormalities; male phenotype; not elsewhere classified
Q99,XVII Congenital malformations; deformations and chromosomal abnormalities,Chromosomal abnormalities; not elsewhere classified,Other chromosome abnormalities; not elsewhere classified
R00,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Abnormalities of heart beat
R01,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Cardiac murmurs and other cardiac sounds
R02,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Gangrene; not elsewhere classified
R03,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Abnormal blood-pressure reading; without diagnosis
R04,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Haemorrhage from respiratory passages
R05,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Cough
R06,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Abnormalities of breathing
R07,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Pain in throat and chest
R08,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,TBC
R09,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the circulatory and respiratory systems,Other symptoms and signs involving the circulatory and respiratory systems
R10,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Abdominal and pelvic pain
R11,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Nausea and vomiting
R12,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Heartburn
R13,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Dysphagia
R14,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Flatulence and related conditions
R15,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Faecal incontinence
R16,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Hepatomegaly and splenomegaly; not elsewhere classified
R17,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Unspecified jaundice
R18,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Ascites
R19,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the digestive system and abdomen,Other symptoms and signs involving the digestive system and abdomen
R20,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the skin and subcutaneous tissue,Disturbances of skin sensation
R21,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the skin and subcutaneous tissue,Rash and other nonspecific skin eruption
R22,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the skin and subcutaneous tissue,Localized swelling; mass and lump of skin and subcutaneous tissue
R23,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the skin and subcutaneous tissue,Other skin changes
R25,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the nervous and musculoskeletal systems,Abnormal involuntary movements
R26,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the nervous and musculoskeletal systems,Abnormalities of gait and mobility
R27,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the nervous and musculoskeletal systems,Other lack of coordination
R28,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the nervous and musculoskeletal systems,TBC
R29,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the nervous and musculoskeletal systems,Other symptoms and signs involving the nervous and musculoskeletal systems
R30,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Pain associated with micturition
R31,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Unspecified haematuria
R32,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Unspecified urinary incontinence
R33,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Retention of urine
R34,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Anuria and oliguria
R35,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Polyuria
R36,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Urethral discharge
R37,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,TBC
R38,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,TBC
R39,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving the urinary system,Other symptoms and signs involving the urinary system
R40,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving cognition; perception; emotional state and behaviour,Somnolence; stupor and coma
R41,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving cognition; perception; emotional state and behaviour,Other symptoms and signs involving cognitive functions and awareness
R42,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving cognition; perception; emotional state and behaviour,Dizziness and giddiness
R43,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving cognition; perception; emotional state and behaviour,Disturbances of smell and taste
R44,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving cognition; perception; emotional state and behaviour,Other symptoms and signs involving general sensations and perceptions
R45,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving cognition; perception; emotional state and behaviour,Symptoms and signs involving emotional state
R46,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving cognition; perception; emotional state and behaviour,Symptoms and signs involving appearance and behaviour
R47,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving speech and voice,Speech disturbances; not elsewhere classified
R48,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving speech and voice,Dyslexia and other symbolic dysfunctions; not elsewhere classified
R49,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Symptoms and signs involving speech and voice,Voice disturbances
R50,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Fever of other and unknown origin
R51,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Headache
R52,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Pain; not elsewhere classified
R53,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Malaise and fatigue
R54,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Senility
R55,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Syncope and collapse
R56,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Convulsions; not elsewhere classified
R57,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Shock; not elsewhere classified
R58,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Haemorrhage; not elsewhere classified
R59,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Enlarged lymph nodes
R60,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Oedema; not elsewhere classified
R61,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Hyperhidrosis
R62,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Lack of expected normal physiological development
R63,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Symptoms and signs concerning food and fluid intake
R64,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Cachexia
R65,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Systemic Inflammatory Response Syndrome [SIRS]
R66,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,TBC
R67,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,TBC
R68,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Other general symptoms and signs
R69,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,General symptoms and signs,Unknown and unspecified causes of morbidity
R70,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
R71,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Abnormality of red blood cells
R72,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Abnormality of white blood cells; not elsewhere classified
R73,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Elevated blood glucose level
R74,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Abnormal serum enzyme levels
R75,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Laboratory evidence of human immunodeficiency virus [HIV]
R76,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Other abnormal immunological findings in serum
R77,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Other abnormalities of plasma proteins
R78,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Findings of drugs and other substances; not normally found in blood
R79,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of blood; without diagnosis,Other abnormal findings of blood chemistry
R80,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of urine; without diagnosis,Isolated proteinuria
R81,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of urine; without diagnosis,Glycosuria
R82,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of urine; without diagnosis,Other abnormal findings in urine
R83,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of other body fluids; substances and tissues; without diagnosis,Abnormal findings in cerebrospinal fluid
R84,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of other body fluids; substances and tissues; without diagnosis,Abnormal findings in specimens from respiratory organs and thorax
R85,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of other body fluids; substances and tissues; without diagnosis,Abnormal findings in specimens from digestive organs and abdominal cavity
