study_id,extracted_data,checked_data,first_author,title,duplicate_intervention,study_year,doi,source,include,exclusion _reason,mmat_s1_clear_research_questions,mmat_s2_appropriate_methods,mmat_pass_screening,mmat_study_type,mmat_q1,mmat_q2,mmat_q3,mmat_q4,mmat_q5,mmat_all_yes,mmat_comments,country,region,region2,setting,ost_medication_type,years_implemented,first_year,first_year_group,elements,type,intervention_description,population / participants,subgroup,sample,age,comparison_group,outcome_measures,study_design,Brief description of study findings,conclude_effective
123,DL,NT ,Bostwick,Implementation of an addiction consult protocol improves access to addiction services for patients admitted to a medical intensive care unit,,2019,10.1164/ajrccm-conference.2019.199.1_MeetingAbstracts.A2701,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,DL,NT ,Brothers,Uptake of slow-release oral morphine as opioid agonist treatment among hospitalised patients with opioid use disorder,,2022,10.1111/dar.13365,database 1,no,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,DL,NT ,Baslock,A brief report on rapid access to medication assisted treatment,,2021,10.1080/15332985.2021.1927936,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,DL,NT ,Appa,Addressing the proximal cause of hospitalization: Teaching residents to diagnose and treat substance use disorders in the inpatient setting,,2018,10.1007/s11606-018-4413-y,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,DL,NT ,American,Clinical Policy: Critical Issues Related to Opioids in Adult Patients Presenting to the Emergency Department,,2020,10.1016/j.annemergmed.2020.06.049,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,DL,NT ,Anderson,Methadone prescribing in the general hospital,,2010,10.1108/14777271011017338,database 1,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,no,yes,no,Lack of control group. Potential bias because the analysis focuses on patients who are prescribed methadone - ie. excludes patients with opioid use disorder who were not prescribed methadone.,United Kingdom,Other,Other or nationwide,hospital-wide,Methadone,2004-2005,2004,2000-2004,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review",building_capacity,"Local standards on the management of opiate dependence for in-patients were developed based on the basic guidelines stated in the Department of Health 1999 publication Drug Misuse and Dependence: Guidelines on Clinical Management (1999). This includes confirmation of drug taking through a detailed drug history, urine drug screen, physical examination, assessment of physical health problems, appropriate management on the ward and follow up plans.",Hospital inpatients prescribed methadone,,167 (across both before and after cycles),36 in the first cycle; 37 in the second cycle (type of average unknown),None,"Confirmation of drug use, signs of withdrawal, referrals to community-based services",before vs. after,Significant increases in referrals to community-based services (eg. 34/84; 41% in cycle one vs. 69/86; 80% in cycle 2); but no significant change in documentation and examination of addition and drug use.,yes
34,DL,NT ,Wakeman,How a hospital-wide SUD initiative expanded pharmacotherapy access,,2020,10.1080/08897077.2020.1846664,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DL,NT ,Zavodnick,"Inpatient opioid withdrawal guidelines improve management, not AMA or readmissions",,2021,10.1097/ADM.0000000000000902,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,DL,NT ,Herring,Emergency department initiation of buprenorphine with a loading dose,,2018,10.1111/acem.13424,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,DL,NT,D'Onofrio,Emergency department-initiated buprenorphine/naloxone treatment for opioid dependence: a randomized clinical trial,,2015,10.1001/jama.2015.3474,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DL,NT ,Wakeman,Emergency department initiated buprenorphine and referral to follow-up addiction care,,2022,10.1097/ADM.0000000000000875,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,NT,GW,Brothers,Uptake of slow-release oral morphine as opioid agonist treatment among hospitalised patients with opioid use disorder,,2022,10.1111/dar.13365,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,GW,NT ,Cahill,Opioid withdrawal guidelines may help to improve the initiation of opioid substitution therapy (OST) in acute hospitals,,2021,10.1007/s11096-021-01352-w,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,GW,NT ,Butler,Nudging Emergency Department Initiated Addiction Treatment.,,2022,10.1097/ADM.0000000000000926,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,yes,yes,yes,,United States,Massachusetts,Northeast states,ED,Buprenorphine,Nov 2018 to March 2019,2018,2015-2019,Training and education in relation to OAT;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT,ed_ost,"Interventions based on behavioural science: Best Practice Advisory alert on electronic health records activated for patients with possible history of OUD, patient-facing posters in ED restrooms normalising OUD disclosure, provider badge-backers, monthly emails to ED OAT providers.",,,120,Pre-intervention mean 39.4 (sd 5.4); post intervention mean 40.0 (sd 4.9),None,PRIMARY: number of OUD related treatments prescribed by the ED per day among patient visits potentially indicated for treatment. SECONDARY: number of specific OUD-related treatments prescribed per day,time series,"'Our findings suggest that interventions rooted in behavioral science can increase the likelihood of physicians appropriately initiating OUD treatment, with a statistically
significant increase of 1.66 additional treatments per day, a more than 50% rise, following our intervention. We argue that this finding is clinically significant as well. These extra
treatments through the course of the study period amounted to an additional 279 patients that could have been left untreated were it not for the introduction of these interventions.'

These findings are for patients on two pathways, both of which culminated in referral for same or next day follow-up with a 'bridge clinic':
-‘‘Take-Home’’ pathway, ED providers could prescribe a 2-day supply of buprenorphine/naloxone at discharge for patients seeking OUD treatment who were not yet in withdrawal.
- ‘‘ED Administration’’ protocol, patients in active opioid withdrawal in the ED can take their first dose of buprenorphine while still in the hospital.

Table 2 summarises data for in-ED buprenorphine without adjusting for confounding variables between pre and post invervention groups: pre-intervention 2.82 (sd 1.87) vs post-intervention 2.95 (sd 1.82), p=0.69; therefore no significant difference for ED-initiated OAT.",yes
112,GW,NT ,Bogan,Implementation of emergency department-initiated buprenorphine for opioid use disorder in a rural southern state.,,2020,10.1016/j.jsat.2020.02.007,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,Case series of patients seen by peer recovery coach service,United States,South Carolina,Southern states,ED,Buprenorphine,Dec 2017 - March 2019,2017,2015-2019,"Training and education in relation to OAT;Peer support for patients who need OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review",ed_ost,"Across three S.Carolina hospital EDs: introduction of universal SUD screening, brief interventions and referral to treatment (SBIRT)  to identify patients with OUD willing to engage in treatment. Patients with OUD were screened  by nurse with COWS and if >8, assessed by ED supervising clinician and initiated on 8mg buprenorphine or bup/naloxone. eligible for ED-initiated buprenorphine and peer recovery coaches assisted in arranging next day follow up with a local community treatment programme.","ED patients screening positive for OUD with NIDA quick screen questions, AUDIT-C and DAST-10 (screening test dependent on hospital).",,535,unknown,None,Number who received buprenorphine in the ED; number of patients who followed up at fast-track appointment; number of patients retained in treatment at 30 days; number of naloxone kits distributed,case series,"Of the 535 patients that qualified for buprenorphine, 241 received buprenorphine in the ED. Once receiving buprenorphine, 78% (187) of patients arrived at the follow-up fast-track appointment the next day and 59% (111) of those patients remained in treatment 30 days later.

Authors describe study as a quality improvement/implementation initiative and conclude 'With adequate resources and institutional support, implementation of evidence-based quality improvement initiatives focused on SUDs are feasible and can improve patient care in a rural southern state.'",yes
2,DL,NT ,Swoboda,Implementation of substance use intervention team to provide hospitalbased SBIRT and MAT,,2019,10.1097/ADM.0000000000000548,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DL,MW,Weimer,Hospital-based Buprenorphine Micro-dose Initiation.,,2021,10.1097/ADM.0000000000000745,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,DL,NT ,Kelly,A novel social work approach to emergency department buprenorphine induction and warm hand-off to community providers.,,2020,10.1016/j.ajem.2019.12.038,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,Case series of patients seen by ED social work team,United States,Colorado,Western states,ED,Buprenorphine,2018-2019,2018,2015-2019,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review",ed_ost,"Patients with opioid use disorder were identified in ED, initiated on buprenorphine, and referred to a social worker. The social worker used motivational interviewing and a referral to a community services. Social workers were available approximately 23 hour per day Monday-Friday and 12 hours per day Saturday-Sunday.",,,148,unknown,None,Whether or not the patient was engaged with an outpatient MOUD program 30 days after discharge from the ED,case series,"120/148 (81%) agreed to induction. 115 had known follow-up status. 70/115 (61%) presented to their first community MOUD appointment. 45/115 (39%) ""remained in treatment"". The study concludes that ""EDs can successfully initiate buprenorphine and provide outpatient MOUD referrals through the use of a pathway with a social work driven care model and warm hand-off to community clinics.""",yes
11,DL,NT ,Suzuki,Medication-assisted treatment for hospitalized patients with intravenous-drug-use related infective endocarditis,,2016,10.1111/ajad.12349,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,NT,GW,Bottner,Hospital-Based Buprenorphine-Focused Interventions for the Treatment of Opioid Use Disorder: A Scoping Literature Review and Case Study,"""B-Team"" - 129/99/171",2020,https://medica-musc.researchcommons.org/cgi/viewcontent.cgi?article=1529&context=theses,database 1,yes,include,yes,yes,yes,qualitative,yes,yes,yes,yes,yes,yes,,United States,Texas,Southern states,medical wards,Buprenorphine,2017-2019,2017,2015-2019,"Measures to improve continuity of pre-existing OAT (e.g. medicine reconciliation);Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review;Providing advice about OAT to primary medical teams",addiction_consult,"The ""B-Team"", a volunteer-based program to treat hospitalised patients with OUD with buprenorphine. (Note the article does not call this an ""addiction consult service"".) The B-team were ' dedicated providers who had developed subject matter expertise' who could 'provide education to bedside providers, initiate buprenorphine, write discharge bridge buprenorphine prescriptions and ensure linkage to outpatient treatment'. The programme consisted of an interprofessional collaboration, led by a physician assistant and included a nurse, social worker, pharmacist, chaplain and incorporated physicians from varying disciplines including internal medicine, psychiatry, and palliative care. The group came together to from a consultation service that assists hospital-based primary care teams to identify patients with OUD, start and maintain buprenorphine therapy during hospitalisation, provide warm hand-offs to outpatient addiction programs, and reduce institutional stigma regarding substance use disorders. 
",,,,"11 interviews were conducted, age range 31-67",None,Faciliators and barriers of an in-hospital buprehnorphine programme ,qualitative,"The intervention can increase access to OAT. Three key themes were: (1) success depends on engagement with multidisciplinary clinicians and administrators, (2) all members of the care team need to be trained about the purpose, efficacy, and initiation protocol for buprenorphine, (3) the project needs ongoing improvement.",yes
131,NT,GW,Clifton,Implementation of a comprehensive hospitalist-led initiative to improve care for patients with opioid use disorder.,,2022,10.1002/jhm.12837,database 1,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,no,yes,no,Confounders are not accounted for in the analysis - which is a simple representation of medication prescribing changes prior to and after the intervention. ,United States,North Carolina,Southern states,hospital-wide,Methadone and buprenorphine,2019-2021,2019,2015-2019,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review;Providing advice about OAT to primary medical teams",addiction_consult,Project COMET - a OUD Consult Service led by a team of hospitalists with x-waivers. Providers from any service can order an electronic consult for COMET to see an adult patient with confirmed or suspected OUD. COMET assessed each patient for OUD and opioid withdrawal and those who were diagnosed were offered nalaxone and connection to outpatient care at discharge. (NB: Patients with OUD may be assigned directly to COMET as part of their primary medicine service),Patients with OUD,,512,Median 40,None,Proportion of hospitalised patients with an OUD diagnosis recieveing medication; COMET patients receiving medication for OUD; burenorphone prescription on discharge; connections to a methadone clinic post discharge ,before vs. after,"COMET evaluated 512 patients for OUD during their index hospitalisation 
from July 1, 2019 through June 30, 2021. Seventy‐one percent of patients received
medication for OUD (MOUD) during admission. Of those who received buprenorphine during admission, 64% received a discharge prescription. 

 Among all patients at DUH with OUD, MOUD use during hospitalization and at discharge increased in the post‐COMET period compared to the pre‐COMET period (p < .001 for both).",yes
133,NT,GW,Englander,Inpatient Addiction Medicine Consultation and Post-Hospital Substance Use Disorder Treatment Engagement: a Propensity-Matched Analysis.,,2019,10.1007/s11606-019-05251-9,references 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,cannot tell,no,"Exposed patients were matched to controls using propensity scores calculated using SUD, gender, age, race, residence region, and diagnoses. However, controls were drawn from patients eligible for the intervention, so there is confounding by indication.",United States,Oregon,Western states,medical wards,Methadone and buprenorphine,2015-2016,2015,2015-2019,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review;Providing advice about OAT to primary medical teams",addiction_consult,"Improving Addiction Care Team (IMPACT). IMPACT included hospital-based consultation care from an interdisciplinary team of addiction medicine physicians, social workers, and peers with lived experience in recovery. IMPACT met patients during hospitalisation; offered pharmacotherapy, behavioural treatments, and harm reduction services; and supported linkages to SUD treatment after discharge.","All participants were 18–64 years old with Oregon Medicaid insurance, had at least one SUD diagnosis (not including tobacco use disorder), and were hospitalized at an Oregon hospital between July 1, 2015, and September 30, 2016.",,"624 total. Intervention: 208, of which 62 had SUD. Controls: 416, of which 124 had SUD.",54.7% were 40 or older (out of cohort and controls),Propensity-matched controls,"SUD treatment engagement, defined as two or more claims on two separate days for SUD care within 34 days of discharge.",cohort study (with control group),"IMPACT patients engaged in SUD treatment following discharge more frequently than controls (38.9% vs. 23.3%, p < 0.01; aOR 2.15, 95% confidence interval [CI] 1.29–3.58). IMPACT participation remained associated with SUD treatment engagement when limiting the sample to people who were not engaged in treatment prior to hospitalisation (aOR
2.63; 95% CI 1.46–4.72)",yes
133,NT,GW,Englander,A Taxonomy of Hospital-Based Addiction Care Models: a Scoping Review and Key Informant Interviews,,2022,10.1007/s11606-022-07618-x,references 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,NT,GW,Englander,"Tools to Support Hospital-Based Addiction Care: Core Components, Values, and Activities of the Improving Addiction Care ",,2019,10.1097/ADM.0000000000000487,references 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,NT,GW,Englander,Planning and Designing the Improving Addiction Care Team (IMPACT) for Hospitalized Adults with Substance Use Disorder.,,2017,10.12788/jhm.2736,references 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,NT,GW,French,Interventions for hospitalized medical and surgical patients with opioid use disorder: A systematic review.,,2021,10.1080/08897077.2021.1949663,references 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,systematic review,"Ten of the 17 included studies were controlled retrospective cohort studies, five were uncontrolled retrospective studies, one was a prospective quasi-experimental evaluation, and one was a secondary analysis of a completed randomized clinical trial. Intervention components and outcomes varied across studies. Outcomes included in-hospital initiation and post-discharge connection to medication for OUD, healthcare utilization, and discharge against medical advice. Results were mixed regarding the impact of existing interventions on outcomes. Most studies focused on linkage to medication for OUD during hospitalization and connection to post-discharge OUD care. Interventions with the best evidence of efficacy often employed an AMC service that facilitated connection to post-discharge OUD care and included addiction medicine physicians in the team.",unclear
137,NT,GW,Gorfinkel,In-hospital training in addiction medicine: A mixed-methods study of health care provider benefits and differences,,2019,10.1080/08897077.2018.1561596,references 1,yes,include,yes,yes,yes,mixed methods,no,no,yes,no,yes,no,"No explicit rationale for mixed methods approach, and no specific mixed methods design",Canada,British Columbia,British Columbia,hospital-wide,Unclear,2015-2017,2015,2015-2019,Training and education in relation to OAT,building_capacity,"An elective clinical rotation with the multidisciplinary Addiction Medicine Consult Team (AMCT) for medical students, residents, fellows (physician, nursing, and social work streams), as well as family physicians in practice in St Pauls Hospital, Vancouver Canada. The structured clinical rotation involves a four-week rotating addiction educational curriculum consisting of didactic lectures, journal clubs, mortality and morbidity rounds, and grand rounds presentations (see appended sample schedule). Trainees are supervised in learning to conduct addiction medicine consults,18 including inpatient withdrawal management, motivational interviewing, coordination of addiction treatment for medical co-morbidities, Screening, Brief Intervention and Referral to Treatment (SBIRT), and pharmacological management of substance use disorders. The team then conducts all follow-up treatment recommendations and coordination. For enhanced skills learners (practicing family physicians), the rotation can last up to six months, and occasionally, shorter rotations (<1 month) are used to briefly refresh skills and knowledge pertaining to addictions care. They were also offered immersive research training. ","Medical students, residents, addition medicine fellows",,"168 trainees, 156 completed pre-rotation self assessment, 142 completed the post training surveys, 18 participants for the qualitative interviews ",Median 29 (IQR 27-31),None,Self-assessed knowledge of addiction medicine post rotation ,before vs. after," Of 168 invited trainees, 142 (84.5%) completed both pre- and post-rotation self-assessments between May 2015 and May 2017. Follow-up participants included medical students, residents, addiction medicine fellows, and family physicians in practice. Self-assessed knowledge of addiction medicine increased significantly post-rotation (mean difference [MD] in scores = 11.87 out of the maximum possible 63 points; standard deviation = 17.00; p < 0.0001). Medical students were found to have the most significant improvement in addiction knowledge (estimated MD = 4.43; 95% confidence interval = 0.76 – 8.09; p = 0.018). The content of the qualitative interviews described the dynamics involved in the learning process among interviewees.

Completion of a hospital-based clinical elective was associated with improved 
knowledge of addiction medicine. Medical students appear to benefit more from the addiction elective with a hospital-based AMCT than other types of learners.",yes
139,NT,GW,Hawk,Emergency department screening and interventions for substance use disorders,,2018,10.1186/s13722-018-0117-1,references 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,NT,DL,Hyshka,Patient perspectives on a harm reduction-oriented addiction medicine consultation team implemented in a large acute care hospital,,2019,10.1016/j.drugalcdep.2019.06.025,references 1,yes,include,yes,yes,yes,qualitative,yes,yes,cannot tell,yes,yes,no,"The study is described as 'focused ethnography', but there are no other activities reported in this paper outside of the interviews",Canada,Other,Other or nationwide,hospital-wide,Methadone and buprenorphine,2014,2014,2010-2014,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review;Providing advice about OAT to primary medical teams",addiction_consult,"Addiction medicine consultation teams (AMCT) in a hospital. A rotating group of physicians with addiction medicine expertise available from 08:00 - 21:00 daily, and a 1.0 full time equivalent nurse practitioner, social worker and addiction counsellor. Hospital inpatients and emergency outpatients with SUD or those at risk of significant substance-related harm were referred to the service through a consultation initiated by a member of the attending care team. The AMCT included an outpatient clinic to support patients in continuing to address their substance use and improve their socioeconomic circumstances after hospital discharge, and until care could be transferred to existing community and primary care providers. The outpatient clinic also held two next day appointments (Monday to Friday) to ensure that emergency department patients who did not require hospital admission could still access the team.", Hospital inpatients and emergency outpatients with substance use disorder or those at risk of significant substance-related harm,,21,"Mean 46, range 27-60",None,,qualitative,"The findings described 1) the factors that facilitated participants willingness to engage with the AMCT and contributed to positive outcomes; 2) the factors that acted as barriers to the AMCT efforts; 3) the positive impacts of AMCT on the participants.

Participants highlighted the AMCT’s harm reduction approach; reputation amongst peers; and specialised training as especially important intervention facilitators. Key barriers that constrained the impact of the team included unmet expectations; difficulty accessing follow-up care; and residual conflicts between the AMCT’s harm reduction approach and the abstinence-only orientation of some hospital staff. For a few participants these conflicts led to negative experiences. Despite this, participants reported that the AMCT had positive
impacts overall, including declines in substance use, enhanced mental and emotional wellbeing, and improved socio-economic circumstances.",yes
141,NT,DL,Jack,Peer providers and linkage with buprenorphine care after hospitalization: A retrospective cohort study.,,2022,10.1080/08897077.2022.2095078,references 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,cannot tell,yes,no,Comparison between patients seen and not seen by a peer provider. There is adjustment for patient-level covariates.,United States,Washington,Western states,hospital-wide,Buprenorphine,2017-2020,2017,2015-2019,"Peer support for patients who need OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers)",building_capacity,"The peer provider program was created to support addiction services at the hospital. Peers met with hospitalized patients, running an outpatient mutual help group for patients on MOUD, and documenting each encounter in the electronic health record. Peers met with inpatients to have open-ended conversations about substance use and recovery. Once patients were discharged, peers primarily reached out to them to encourage them to attend the weekly mutual help group for patients on MOUD. The peers were not specifically told to discuss follow-up or MOUD with hospitalized patients or provide any support around MOUD adherence or appointment attendance after discharge.","Eligible patients were (1) admitted between March 1, 2019 and February 29, 2020, (2) at least 18 years of age, (3) prescribed buprenorphine for OUD at the time discharge
(new start only; not including patients with buprenorphine prescriptions at admission, as determined using Washington Prescription Monitoring Program [PMP] data, into which
pharmacies enter all buprenorphine prescriptions at the time they are dispensed, and medical notes documenting buprenorphine as part of the preadmission care plan), and (4)
were seen by the ACS during their hospitalization. Patients were excluded if they left against medical advice, eloped, or were transferred to a long-term care or correctional facility.",,"111 included in the sample, 35 were seen by a peer provider",Estimated mean age by linear interpolation: full sample 43.2; peer encounter 43.0; control 43.3,Patients without peer encounter ,"PRIMARY: receipt of a buprenorphine prescription within 30 days of hospital discharge. SECONDARY: (1) attendance at a follow-up visit with an outpatient buprenorphine provider within 30 days of discharge, (2) number of days prescribed buprenorphine within the 90 days of discharge, and (3) hospital readmission within 90 days
",cohort study (with control group),"111 patients met the study inclusion criteria, 31.5% of whom saw a peer provider. 55.0% received a buprenorphine prescription within 30 days of hospital discharge. Patients with versus without peer provider encounters did not significantly differ in the rates of receiving a buprenorphine prescription (RR¼ 1.06, 95% CI: 0.74-1.51), hospital readmission (RR¼ 1.45, 95% CI: 0.80-2.64), or attendance at a buprenorphine follow-up visit (RR ¼ 1.03, 95% CI: 0.68-1.57). Peers most often listened to or shared experiences with patients (68.6% of encounters) and helped facilitate medical care (60.0% of encounters).",no
142,NT,DL,Kerins,Overcoming challenges in acute care hospitalizations for patients with opioid use disorder,,2022,10.1016/j.japh.2022.08.004,references 1,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,no,cannot tell,no,No description of the target population. Confounders are not accounted for in the design.,United States,Illinois,Midwest states,medical wards,Methadone and buprenorphine,2020-2021,2020,2020-2024,"Multidisciplinary patient review;Training and education in relation to OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Providing advice about OAT to primary medical teams",addiction_consult,"Quality improvement project which led to the creation of the OUD consult service, formulary revisions, education for health care workers (inpatient nurse training and X-waiver training for prescribers), and outpatient partnerships. Pharmacy-led initiatives included formulary management, electronic medication orders, naloxone co-prescribing decision support, and MOUD education.",Patients with opioid use disorder,,296,39% age 50-79,None,Patients managed and discharged with buprenorphine; patients managed with methadone and linked to outpatient care; naloxone rate at discharge; 30-day readmission rate,before vs. after,"From July 2020 to April 2021, 296 OUD consults occurred. In total, 103 consult patients
(35%) received and were discharged with buprenorphine. An additional 118 patients (40%)
were managed with methadone and linked to outpatient care. Naloxone dispensing at
discharge increased to over 65%, which did not include patients who opted out or were discharged to a facility.",yes
143,NT,DL,Marks,Addiction Medicine Consultations Reduce Readmission Rates for Patients With Serious Infections From Opioid Use Disorder,,2019,10.1093/cid/ciy924.,references 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,NT,DL,Graddy,Models of Resident Physician Training in Opioid Use Disorders,,2019,10.1007/s40429-019-00271-1,references 1,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,NT,DL,Melnick,User centered clinical decision support to implement initiation of buprenorphine for opioid use disorder in the emergency department: EMBED pragmatic cluster randomized controlled trial.,,2022,10.1136/bmj-2021-069271 ,references 1,yes,include,yes,yes,yes,rct,yes,yes,yes,no,yes,no,Participants could not be blinded to their allocation because the clinical decision support  was launched by clinicians in the electronic health record and could be used when the patient was present. All parties responsible for data collection were aware of the assigned allocation of sites to study arms but had no role in the decision of whether to use the intervention or to give or prescribe buprenorphine in the emergency department.,United States,Other,Other or nationwide,ED,Buprenorphine,2019-2021,2019,2015-2019,"Training and education in relation to OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Electronic workflow that prompts staff to screen patients or supports other aspects of OAT",ed_ost,"EMBED is a clinical decision support system integrated into the electronic health record workflow to facilitate initiating buprenorphine in the emergency department. It supports clinicians to diagnose opioid use disorder with a checklist based on the diagnostic criteria of the DSM-5, assess the severity of withdrawal with the COWS scale, motivate patients to accept treatment with a scripted brief negotiation interview, and refer for ongoing treatment in the community. All study sites (regardless of study arm) received education on opioid use disorder and initiating buprenorphine in the emergency department, along with a posting of the buprenorphine clinical algorithm in the clinical work area. Intervention sites trained their clinicians on how to launch and use EMBED.","The intervention is physician facing, attending physicians in the emergency department 
caring for patients who met the electronic health record phenotype criteria were the primary study subjects. 

Patients were assigned to one attending of record based on practices specific to each site. 
However, all clinicians in the emergency department practicing at intervention sites had access to EMBED for all of the patients in their care at that site. 

(The study sample was derived from all patient visits to the participating emergency departments during the study period.)",,5047 total; 2787 intervention; 2260 ususal care,Patients: intervention median 36 (IQR 29-48); usual care median 36 (IQR 29-46); total median 36 (IQR 29-47),Usual care ,PRIMARY: initiation of buprenorphine in ED. SECONDARY: number of unique physicians who initiated buprenorphine at least once during the trial; launching the intervention; referral for ongoing medication for opioid use disorder reported in the electronic health record; prescription for naloxone at discharge from the emergency department; and obtaining a Drug Addiction Treatment Act of 2000 X-waiver to prescribe buprenorphine during the trial. ,rct,"1413693 visits to the emergency department (775873 in the intervention arm and 637820 in 
the usual care arm) from November 2019 to May 2021 were assessed for eligibility, resulting in 5047 patients with opioid use disorder (2787 intervention arm, 2260 usual care arm) under the care of 599 attending physicians (340 intervention arm, 259 usual care arm) for analysis. Buprenorphine was initiated in 347 (12.5%) patients in the intervention arm and in 
271 (12.0%) patients in the usual care arm (adjusted generalized estimating equations odds ratio 1.22, 95% confidence interval 0.61 to 2.43, P=0.58). Buprenorphine was initiated at least once by 151 (44.4%) physicians in the intervention arm and by 88 (34.0%) in the usual care arm (1.83, 1.16 to 2.89, P=0.01).

We found no significant changes in the secondary outcomes at the patient level for referral for ongoing medication for opioid use disorder (13.2% v 10.0% in the intervention and usual care arms, respectively, odds ratio 1.03, 95% confidence interval 0.43 to 2.47, P=0.95) and prescription of naloxone at discharge from the emergency department (18.6% v 6.0% in 
the intervention and usual care arms, respectively, 1.62, 0.81 to 3.22, P=0.17). Maintenance rates for initiating buprenorphine in the emergency department persisted after the end of the trial, with buprenorphine administered to 14.2% (108/763) of patients at intervention sites in the 120 days after the trial ended (P=0.38 compared with trial primary outcome). No 
serious adverse events or unintended effects were reported in the study arms.",no
146,NT,DL,Nordeck,Rehospitalization and substance use disorder (SUD) treatment entry among patients seen by a hospital SUD consultation-liaison service.,,2018,10.1016/j.drugalcdep.2017.12.043,references 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,DL,NT ,Taylor,"Bridge clinic implementation of ""72-hour rule"" methadone for opioid withdrawal management: Impact on opioid treatment program linkage and retention in care",,2022,10.1016/j.drugalcdep.2022.109497,references 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
